commande	1_graph	8_frantfreqparm
669	certaine	102.42
670	geste	101.77
671	expérience	101.71
672	période	101.61
673	bonheur	101.42
674	produit	101.39
675	ligne	101.1
676	diverses	100.9
677	mur	100.87
678	fer	100.77
679	techniques	100.35
680	départ	100.23
681	papier	100.23
682	économie	100.16
683	souvenir	99.9
684	doigts	99.84
685	couleur	99.81
686	perdu	99.68
687	frère	99.58
688	cour	99.52
689	énergie	99.35
690	mit	99.06
691	bleu	99.03
692	faisant	99.03
693	large	98.97
694	lettres	98.94
695	titre	98.81
696	goût	98.77
697	lentement	98.74
698	lettre	98.48
699	tellement	98.48
700	venu	98.19
701	demain	97.81
702	bureau	97.77
703	vit	97.71
704	vont	97.71
705	voyait	97.71
706	attendre	97.35
707	ministre	97.23
708	armée	97
709	sortir	97
710	affaires	96.9
711	tenait	96.74
712	relations	96.65
713	but	96.58
714	f	96.35
715	fini	96.32
716	montre	96.26
717	soient	96.19
718	café	96.06
719	nombreux	96
720	nez	95.94
721	jambes	95.84
722	aide	95.81
723	coin	95.81
724	haute	95.48
725	vis	95.48
726	second	95.42
727	regarder	95.39
728	ami	95.16
729	lors	95.1
730	plupart	94.97
731	questions	94.94
732	église	94.77
733	trouvé	94.58
734	assemblée	94.32
735	tient	94.26
736	jouer	94.23
737	tes	94.06
738	voici	94
739	front	93.94
740	base	93.9
741	entrée	93.9
742	épaules	93.9
743	arbres	93.77
744	avance	93.77
745	structure	93.42
746	hasard	93.16
747	devient	93.03
748	premières	93.03
749	résultats	92.97
750	impression	92.94
751	n	92.94
752	joseph	92.13
753	noire	92.13
754	impossible	92.03
755	assis	91.55
756	faites	91.52
757	masse	91.52
758	emploi	91.45
759	prit	91.39
760	science	91.03
761	poids	90.9
762	troisième	90.81
763	pleine	90.61
764	formation	90.58
765	différents	90.29
766	allons	90.06
767	anglais	89.94
768	propos	89.9
769	puisse	89.9
770	allez	89.87
771	murs	89.87
772	mémoire	89.87
773	journal	89.71
774	connu	89.61
775	national	89.58
776	scène	89.58
777	présente	89.48
778	expression	89.42
779	écrire	89.16
780	restait	89.13
781	puissance	89.03
782	odeur	89
783	sentiment	88.9
784	moitié	88.81
785	sort	88.77
786	connaître	88.74
787	hors	88.74
788	trouvait	88.65
789	debout	88.58
790	fonctions	88.58
791	élèves	88.58
792	devenir	88.45
793	jardin	88.42
794	double	88.16
795	terme	87.97
796	unité	87.77
797	uns	87.58
798	occasion	87.29
799	millions	87.26
800	régime	87.19
801	sentait	87.16
802	notamment	86.77
803	moindre	86.65
804	lendemain	86.58
805	journée	86.48
806	vitesse	86.48
807	minutes	86.35
808	met	86.29
809	physique	86.13
810	pièces	86.03
811	méthode	86
812	points	85.9
813	malade	85.87
814	objets	85.87
815	deuxième	85.71
816	différentes	85.61
817	important	85.52
818	position	85.48
819	désir	85.35
820	administration	85.29
821	particulièrement	85.29
822	président	85.29
823	propres	85.1
824	joie	85.03
825	seuls	84.84
826	cesse	84.65
827	l	84.65
828	recherches	84.65
829	prise	84.55
830	delà	84.45
831	pratique	84.16
832	choix	84.13
833	an	83.94
834	mourir	83.9
835	produits	83.84
836	hôtel	83.77
837	nouveaux	83.52
838	parlait	83.45
839	fleurs	83.42
840	heureux	83.42
841	davantage	83.29
842	exactement	83.23
843	robert	83.03
844	faite	83
845	trente	82.94
846	seront	82.87
847	rester	82.84
848	industrie	82.71
849	village	82.65
850	chaleur	82.52
851	désormais	82.35
852	volonté	82.32
853	évidemment	82.32
854	figure	82.23
855	sept	82.23
856	d	82.16
857	personnel	82.03
858	afin	82
859	rapports	81.81
860	tôt	81.81
861	machine	81.65
862	mètres	81.65
863	somme	81.58
864	retrouver	81.55
865	maman	81.35
866	types	81.35
867	sinon	81.26
868	clair	81.13
869	tableau	81.1
870	faudrait	81.06
871	culture	80.94
872	regardait	80.77
873	révolution	80.77
874	succès	80.74
875	région	80.61
876	commun	80.35
877	humaine	80.29
878	éducation	79.97
879	maisons	79.94
880	peuple	79.87
881	influence	79.77
882	voyage	79.65
883	sauf	79.61
884	paix	79.45
885	analyse	79.35
886	article	79.23
887	joue	79.16
888	sud	79.16
889	série	79.13
890	entreprise	78.74
891	habitude	78.52
892	combien	78.42
893	entrer	78.29
894	dieu	78.26
895	manger	78.26
896	savez	78.23
897	neuf	78
898	g	77.74
899	mauvais	77.55
900	rêve	77.55
901	aspect	77.52
902	termes	77.52
903	faible	77.42
904	écoles	77.42
905	certes	77.32
906	chance	77.32
907	véritable	77.32
908	création	77.29
909	qualité	77.06
910	autorité	76.97
911	surface	76.94
912	égard	76.84
913	cheval	76.77
914	humain	76.48
915	tomber	76.48
916	tirer	76.35
917	rapidement	76.29
