id	word	frequency
577	Interesse	11
578	jeden	11
579	jedenfalls	11
580	Juni	11
581	Kein	11
582	legte	11
583	Liebe	11
584	Mal	11
585	mindestens	11
586	mittlerweile	11
587	neu	11
588	Neue	11
589	Nicht	11
590	oft	11
591	Opfer	11
592	Regierung	11
593	sagte	11
594	Schritt	11
595	Schüler	11
596	setzt	11
597	Sind	11
598	steigt	11
599	stellen	11
600	Trotzdem	11
601	überhaupt	11
602	Unsere	11
603	unterstützt	11
604	voll	11
605	vorgestellt	11
606	weg	11
607	weiterer	11
608	Wert	11
609	wichtige	11
610	zieht	11
611	Aktion	10
612	Antwort	10
613	Arbeiten	10
614	Bank	10
615	Bayern	10
616	begann	10
617	Beginn	10
618	beginnen	10
619	begonnen	10
620	Beitrag	10
621	besteht aus	10
622	betrug	10
623	Bevölkerung	10
624	blieben	10
625	Börse	10
626	Bundesregierung	10
627	Damals	10
628	dauert	10
629	Donnerstag	10
630	einzelne	10
631	endlich	10
632	erforderlich	10
633	erhielt	10
634	ermittelt	10
635	erreichen	10
636	EU	10
637	Film	10
638	folgt	10
639	freuen	10
640	Gastgeber	10
641	gegründet	10
642	gehören	10
643	genaue	10
644	Gespräch	10
645	gestiegen	10
646	gewann	10
647	gewesen	10
648	Gibt	10
649	guter	10
650	hinter	10
651	Inhalt	10
652	Keine	10
653	kleinen	10
654	kommenden	10
655	lassen	10
656	leider	10
657	Leute	10
658	machte	10
659	Mark	10
660	mehr als	10
661	mein	10
662	Mensch	10
663	Mutter	10
664	offenbar	10
665	Preis	10
666	Recht	10
667	Sachschaden	10
668	scheint	10
669	Sehr	10
670	Software	10
671	sprach	10
672	Sprache	10
673	stark	10
674	Tagen	10
675	Teilnehmer	10
676	teilweise	10
677	Um	10
678	verwendet	10
679	vorgenommen	10
680	während	10
681	Wohnung	10
682	Zahl	10
683	zwar	10
684	Zwei	10
685	Alles	9
686	Arzt	9
687	August	9
688	außerdem	9
689	Auswahl	9
690	bald	9
691	bekommen	9
692	benötigen	9
693	Berliner	9
694	bestätigte	9
695	Bisher	9
696	bislang	9
697	Branche	9
698	denn	9
699	Diskussion	9
700	dürfen	9
701	Eigentlich	9
702	eingeführt	9
703	enthält	9
704	entscheidet	9
705	entsprechende	9
706	entwickelt	9
707	Erfahrungen	9
708	erhöht	9
709	erneut	9
710	EUR	9
711	Experten	9
712	falsch	9
713	Fast	9
714	Fernsehen	9
715	Firma	9
716	Folge	9
717	gar	9
718	gefunden	9
719	gelang	9
